run,freq_Hz,period_s,idd_A,,,,
179,5.80E+06,1.72E-07,0.000125568,,,,
180,5.78E+06,1.73E-07,0.000127503,,,,
181,5.74E+06,1.74E-07,0.000129091,,,,
182,5.74E+06,1.74E-07,0.000132775,,,,
183,6.29E+06,1.59E-07,0.000130845,,,,
184,6.85E+06,1.46E-07,0.000124487,,,,
185,6.30E+06,1.59E-07,0.000135523,,,,
186,5.95E+06,1.68E-07,0.000132072,,,,
187,6.34E+06,1.58E-07,0.00012988,,,,
188,5.47E+06,1.83E-07,0.00012624,,,,
189,5.66E+06,1.77E-07,0.000132452,,,,
190,5.79E+06,1.73E-07,0.000127853,,,,
191,6.38E+06,1.57E-07,0.000132864,,,,
192,5.41E+06,1.85E-07,0.000124588,,,,
193,5.87E+06,1.70E-07,0.000132405,,,,
194,5.21E+06,1.92E-07,0.000127966,,,,
195,5.14E+06,1.94E-07,0.000129707,,,,
196,5.20E+06,1.92E-07,0.000124788,,,,
197,6.07E+06,1.65E-07,0.000128974,,,,
198,6.34E+06,1.58E-07,0.000127126,,,,
199,6.81E+06,1.47E-07,0.0001283,,,,
200,6.54E+06,1.53E-07,0.000132257,,,,
201,6.25E+06,1.60E-07,0.000124563,,,,
202,5.77E+06,1.73E-07,0.000125502,,,,
203,6.24E+06,1.60E-07,0.000124104,,,,
204,5.89E+06,1.70E-07,0.00012814,,,,
205,5.55E+06,1.80E-07,0.00012825,,,,
206,5.66E+06,1.77E-07,0.000129756,,,,
207,6.48E+06,1.54E-07,0.000131382,,,,
208,6.60E+06,1.51E-07,0.000132041,,,,
209,5.83E+06,1.72E-07,0.000126037,,,,
210,5.82E+06,1.72E-07,0.000129359,,,,
211,5.42E+06,1.85E-07,0.000122804,,,,
212,6.14E+06,1.63E-07,0.000130559,,,,
213,5.49E+06,1.82E-07,0.00012685,,,,
214,5.89E+06,1.70E-07,0.00013656,,,,
215,6.07E+06,1.65E-07,0.000129325,,,,
216,4.64E+06,2.15E-07,0.000127802,,,,
